machine_id,downtime_window,downtime_start,estimated_duration_hours,production_impact_usd,urgency_score,cost_at_risk
CNC_067,immediate,2026-06-13 01:07:45.817271,15.0,4659.38,100.0,6560.4
CNC_012,night,2026-06-13 22:00:00,2.3,752.67,100.0,6597.36
CNC_025,immediate,2026-06-13 01:07:45.817271,8.0,2470.0,100.0,6817.2
CNC_089,night,2026-06-13 22:00:00,2.6,737.75,100.0,6265.2
CNC_019,night,2026-06-13 22:00:00,2.5,771.88,100.0,5631.599999999999
CNC_063,immediate,2026-06-13 01:07:45.817271,6.2,1278.23,85.0,4750.08
CNC_043,night,2026-06-13 22:00:00,2.8,645.4,85.0,4868.16
CNC_005,night,2026-06-13 22:00:00,2.4,416.5,85.0,4331.6
CNC_081,night,2026-06-13 22:00:00,2.9,812.48,100.0,5110.239999999999
CNC_093,night,2026-06-13 22:00:00,3.1,750.46,100.0,5345.200000000001
CNC_096,night,2026-06-13 22:00:00,2.6,701.67,100.0,5181.5999999999985
CNC_087,night,2026-06-13 22:00:00,2.6,841.97,100.0,7461.12
CNC_056,night,2026-06-13 22:00:00,2.4,539.8,85.0,4750.239999999999
CNC_068,night,2026-06-13 22:00:00,2.2,493.35,85.0,4736.16
CNC_009,night,2026-06-13 22:00:00,2.3,544.72,100.0,5229.28
CNC_055,night,2026-06-13 22:00:00,3.1,650.1,85.0,4630.360000000001
CNC_065,night,2026-06-13 22:00:00,2.8,700.0,100.0,5760.0
CNC_033,night,2026-06-13 22:00:00,2.8,811.07,100.0,6673.92
CNC_072,night,2026-06-13 22:00:00,2.6,684.45,100.0,5812.56
CNC_034,night,2026-06-13 22:00:00,2.6,884.65,100.0,7512.72
CNC_013,night,2026-06-13 22:00:00,2.7,793.8,100.0,6491.52
CNC_054,night,2026-06-13 22:00:00,2.6,750.21,100.0,6371.000000000001
CNC_036,night,2026-06-13 22:00:00,2.8,843.73,100.0,7232.000000000001
CNC_069,night,2026-06-13 22:00:00,2.8,268.33,68.0,2208.0
CNC_035,night,2026-06-13 22:00:00,2.8,434.47,68.0,3575.0399999999995
CNC_064,night,2026-06-13 22:00:00,2.7,895.5,100.0,7323.200000000002
CNC_047,night,2026-06-13 22:00:00,3.1,628.01,85.0,4473.04
CNC_017,night,2026-06-13 22:00:00,2.2,499.4,100.0,5665.92
CNC_097,night,2026-06-13 22:00:00,2.4,682.8,100.0,6281.76
CNC_073,night,2026-06-13 22:00:00,2.6,723.67,100.0,5611.2
