machine_id,scheduled_day,scheduled_date,duration_hours,earliest_day,deadline_day,tardiness_hours,risk_weight,priority,technician_type,primary_pattern
CNC_034,0,2026-06-13,2.6,0,4,0,75.13,P1,senior_technician,normal
CNC_087,0,2026-06-13,2.6,0,4,0,74.61,P1,senior_technician,normal
CNC_064,0,2026-06-13,2.7,0,4,0,73.23,P1,senior_technician,normal
CNC_036,0,2026-06-13,2.8,0,4,0,72.32,P1,senior_technician,normal
CNC_025,0,2026-06-13,8.0,0,4,0,68.17,P1,senior_technician,normal
CNC_033,0,2026-06-13,2.8,0,4,0,66.74,P1,senior_technician,normal
CNC_012,0,2026-06-13,2.3,0,4,0,65.97,P1,thermal_specialist,thermal_buildup
CNC_067,0,2026-06-13,15.0,0,4,0,65.6,P1,senior_technician,combined_degradation
CNC_013,1,2026-06-14,2.7,0,4,0,64.92,P1,senior_technician,normal
CNC_054,1,2026-06-14,2.6,0,4,0,63.71,P1,junior_technician,normal
CNC_097,1,2026-06-14,2.4,0,4,0,62.82,P1,junior_technician,normal
CNC_089,1,2026-06-14,2.6,0,4,0,62.65,P1,senior_technician,combined_degradation
CNC_072,1,2026-06-14,2.6,0,4,0,58.13,P1,junior_technician,normal
CNC_065,1,2026-06-14,2.8,0,4,0,57.6,P1,junior_technician,normal
CNC_017,1,2026-06-14,2.2,0,4,0,56.66,P1,electrical_specialist,voltage_drift
CNC_019,1,2026-06-14,2.5,0,4,0,56.32,P1,senior_technician,combined_degradation
CNC_073,1,2026-06-14,2.6,0,4,0,56.11,P1,junior_technician,normal
CNC_093,1,2026-06-14,3.1,0,4,0,53.45,P1,senior_technician,combined_degradation
CNC_009,1,2026-06-14,2.3,0,4,0,52.29,P1,thermal_specialist,thermal_buildup
CNC_096,1,2026-06-14,2.6,0,4,0,51.82,P1,thermal_specialist,thermal_buildup
CNC_081,1,2026-06-14,2.9,0,4,0,51.1,P1,thermal_specialist,thermal_buildup
CNC_043,1,2026-06-14,2.8,0,5,0,41.38,P1,senior_technician,combined_degradation
CNC_056,1,2026-06-14,2.4,0,5,0,40.38,P1,senior_technician,combined_degradation
CNC_063,2,2026-06-15,6.2,0,5,0,40.38,P1,senior_technician,combined_degradation
CNC_068,2,2026-06-15,2.2,0,5,0,40.26,P1,thermal_specialist,thermal_buildup
CNC_055,2,2026-06-15,3.1,0,5,0,39.36,P1,senior_technician,combined_degradation
CNC_047,2,2026-06-15,3.1,0,5,0,38.02,P1,junior_technician,normal
CNC_005,2,2026-06-15,2.4,0,5,0,36.82,P1,thermal_specialist,thermal_buildup
CNC_035,2,2026-06-15,2.8,0,7,0,24.31,P1,junior_technician,normal
CNC_069,2,2026-06-15,2.8,0,7,0,15.01,P1,senior_technician,thermal_buildup
