feature,importance_14min,importance_28min,importance_avg
v_range,0.014112824,0.03286558,0.023489201
mahalanobis_approx,0.033786744,0.012715352,0.023251047
v_slope,0.017776717,0.02813406,0.022955388
z_comp_max,0.021811683,0.021159062,0.021485373
z_comp_mean,0.022022204,0.019631857,0.02082703
a_recent_slope,0.017030306,0.024319371,0.02067484
a_range,0.013786362,0.026411165,0.020098763
t_trend_r2,0.014783741,0.022873731,0.018828737
t_recent_slope,0.016135076,0.021013955,0.018574515
a_wasserstein,0.0154015515,0.021744132,0.01857284
v_std,0.015507541,0.020600794,0.018054167
z_t_mean,0.017738733,0.01833004,0.018034387
a_std,0.016650215,0.01913747,0.017893843
last_temperature,0.014724871,0.020625615,0.017675243
a_slope,0.015396603,0.019883605,0.017640105
a_volatility_max,0.017911978,0.017267987,0.017589983
v_recent_slope,0.017110096,0.01803337,0.017571732
last_amperage,0.014646344,0.019977948,0.017312147
z_a_mean,0.014653237,0.019775672,0.017214455
a_accel,0.015514295,0.018824387,0.017169341
days_since_repair,0.017140927,0.015682768,0.016411848
v_wasserstein,0.0127020255,0.019203773,0.0159529
t_wasserstein,0.013516675,0.018339759,0.015928216
t_accel,0.015739013,0.015647871,0.015693441
t_std,0.013755618,0.0172318,0.015493709
t_mean,0.012842823,0.018073779,0.015458301
a_trend_r2,0.016060675,0.014683728,0.015372202
corr_va,0.014075994,0.01645119,0.015263591
thermal_mean,0.015729295,0.014623281,0.015176288
power_mean,0.015482661,0.01482816,0.01515541
window_fault_ratio,0.015363057,0.01490053,0.015131794
window_normal_count,0.015975583,0.013973246,0.014974415
current_fault_type,0.011289676,0.018650351,0.014970014
days_to_next_service,0.01325105,0.016358746,0.014804898
z_v_max,0.014605462,0.014967193,0.014786327
last_power,0.013048976,0.016495956,0.014772465
last_thermal,0.017016253,0.012107978,0.014562115
a_volatility,0.01253076,0.01630939,0.014420075
efficiency_mean,0.015248686,0.013517948,0.014383317
v_volatility_max,0.014122578,0.014216986,0.014169782
window_fault_diversity,0.0144197885,0.013319462,0.013869625
t_volatility_max,0.01343551,0.014091504,0.013763507
cost_at_risk,0.014926416,0.012514591,0.013720503
z_v_mean,0.015212902,0.012117907,0.013665404
v_volatility,0.0147074545,0.012331882,0.013519668
rpm_mean,0.014940205,0.012030684,0.013485445
v_trend_r2,0.012592097,0.01429982,0.0134459585
corr_at,0.012803575,0.013956496,0.013380036
power_trend,0.012268403,0.014440934,0.013354668
steps_since_last_fault,0.01466745,0.011788595,0.0132280225
machine_age_months,0.011785286,0.014003369,0.012894327
t_range,0.015037558,0.010512322,0.012774941
a_mean,0.013371019,0.011908934,0.012639977
v_mean,0.013651137,0.011157155,0.012404146
corr_vt,0.014650004,0.010072106,0.012361055
v_accel,0.0126390075,0.011523558,0.012081282
daily_output,0.013912195,0.010205951,0.012059073
rpm_std,0.013764267,0.01007942,0.0119218435
t_slope,0.014124793,0.009439895,0.011782344
thermal_change,0.013396813,0.009606828,0.011501821
unit_cost,0.008959899,0.011812547,0.010386223
t_volatility,0.011139565,0.009196465,0.010168015
historical_fault_rate,0.01758647,0.0,0.008793235
thermal_max,0.013952333,0.0,0.0069761663
last_voltage,0.013600579,0.0,0.0068002897
current_is_normal,0.011338008,0.0,0.005669004
days_since_service,0.011118347,0.0,0.0055591734
v_boundary_viol_pct,0.0,0.0,0.0
a_boundary_viol_pct,0.0,0.0,0.0
a_above_p99,0.0,0.0,0.0
a_below_p01,0.0,0.0,0.0
t_boundary_viol_pct,0.0,0.0,0.0
t_above_p99,0.0,0.0,0.0
t_below_p01,0.0,0.0,0.0
v_above_p99,0.0,0.0,0.0
v_below_p01,0.0,0.0,0.0
has_quality_data,0.0,0.0,0.0
n_measurements,0.0,0.0,0.0
above_spec_rate,0.0,0.0,0.0
below_spec_rate,0.0,0.0,0.0
param_deviation_max,0.0,0.0,0.0
param_deviation_mean,0.0,0.0,0.0
n_products,0.0,0.0,0.0
total_failed,0.0,0.0,0.0
max_failed_tests,0.0,0.0,0.0
avg_failed_tests,0.0,0.0,0.0
thermal_alarm_count,0.0,0.0,0.0
thermal_warning_count,0.0,0.0,0.0
test_pass_rate,0.0,0.0,0.0
fail_rate_per_product,0.0,0.0,0.0
