fold,train_end_step,test_window_start,test_window_end,n_train_samples,n_test_samples,n_machines_tested,tp,fp,tn,fn,precision,recall,f1,fpr,test_fault_rate
1,10,11,11,1100,100,100,56,16,10,18,0.7778,0.7568,0.7671,0.6154,0.74
2,11,12,12,1200,100,100,56,19,6,19,0.7467,0.7467,0.7467,0.76,0.75
3,12,13,13,1300,100,100,48,19,5,28,0.7164,0.6316,0.6713,0.7917,0.76
4,13,14,14,1400,100,100,62,11,8,19,0.8493,0.7654,0.8052,0.5789,0.81
5,14,15,15,1500,100,100,44,20,11,25,0.6875,0.6377,0.6617,0.6452,0.69
6,15,16,16,1600,100,100,51,19,9,21,0.7286,0.7083,0.7183,0.6786,0.72
7,16,17,17,1700,100,100,51,15,8,26,0.7727,0.6623,0.7133,0.6522,0.77
8,17,18,18,1800,100,100,49,15,9,27,0.7656,0.6447,0.7,0.625,0.76
9,18,19,19,1900,100,100,53,16,6,25,0.7681,0.6795,0.7211,0.7273,0.78
10,19,20,20,2000,100,100,48,26,8,18,0.6486,0.7273,0.6857,0.7647,0.66
11,20,21,21,2100,100,100,48,20,9,23,0.7059,0.6761,0.6906,0.6897,0.71
12,21,22,22,2200,100,100,58,11,7,24,0.8406,0.7073,0.7682,0.6111,0.82
13,22,23,23,2300,100,100,56,17,8,19,0.7671,0.7467,0.7568,0.68,0.75
14,23,24,24,2400,100,100,56,16,4,24,0.7778,0.7,0.7368,0.8,0.8
15,24,25,25,2500,100,100,57,18,8,17,0.76,0.7703,0.7651,0.6923,0.74
16,25,26,26,2600,100,100,53,19,8,20,0.7361,0.726,0.731,0.7037,0.73
17,26,27,27,2700,100,100,54,21,4,21,0.72,0.72,0.72,0.84,0.75
18,27,28,28,2800,100,100,56,18,4,22,0.7568,0.7179,0.7368,0.8182,0.78
19,28,29,29,2900,99,99,47,22,12,18,0.6812,0.7231,0.7015,0.6471,0.6566
