fold,train_end_step,test_window_start,test_window_end,n_train_samples,n_test_samples,n_machines_tested,tp,fp,tn,fn,precision,recall,f1,fpr,test_fault_rate
1,10,11,11,1100,100,100,69,20,6,5,0.7753,0.9324,0.8466,0.7692,0.74
2,11,12,12,1200,100,100,66,23,2,9,0.7416,0.88,0.8049,0.92,0.75
3,12,13,13,1300,100,100,57,20,4,19,0.7403,0.75,0.7451,0.8333,0.76
4,13,14,14,1400,100,100,68,18,1,13,0.7907,0.8395,0.8144,0.9474,0.81
5,14,15,15,1500,100,100,55,27,4,14,0.6707,0.7971,0.7285,0.871,0.69
6,15,16,16,1600,100,100,62,24,4,10,0.7209,0.8611,0.7848,0.8571,0.72
7,16,17,17,1700,100,100,64,17,6,13,0.7901,0.8312,0.8101,0.7391,0.77
8,17,18,18,1800,100,100,63,21,3,13,0.75,0.8289,0.7875,0.875,0.76
9,18,19,19,1900,100,100,69,18,4,9,0.7931,0.8846,0.8364,0.8182,0.78
10,19,20,20,2000,100,100,59,33,1,7,0.6413,0.8939,0.7468,0.9706,0.66
11,20,21,21,2100,100,100,62,27,2,9,0.6966,0.8732,0.775,0.931,0.71
12,21,22,22,2200,100,100,76,13,5,6,0.8539,0.9268,0.8889,0.7222,0.82
13,22,23,23,2300,100,100,67,23,2,8,0.7444,0.8933,0.8121,0.92,0.75
14,23,24,24,2400,100,100,69,20,0,11,0.7753,0.8625,0.8166,1.0,0.8
15,24,25,25,2500,100,100,64,26,0,10,0.7111,0.8649,0.7805,1.0,0.74
16,25,26,26,2600,100,100,64,22,5,9,0.7442,0.8767,0.805,0.8148,0.73
17,26,27,27,2700,100,100,62,21,4,13,0.747,0.8267,0.7848,0.84,0.75
18,27,28,28,2800,100,100,67,20,2,11,0.7701,0.859,0.8121,0.9091,0.78
19,28,29,29,2900,99,99,59,30,4,6,0.6629,0.9077,0.7662,0.8824,0.6566
