machine_id,technician_type,technician_count,estimated_hours,cost_tier,labor_savings_per_hour,maintenance_priority,estimated_start
CNC_067,senior_technician,3,15.0,standard,0.0,P1,2026-05-30 16:48:59.527521
CNC_012,thermal_specialist,2,2.3,standard,0.0,P1,2026-05-30 22:00:00
CNC_025,senior_technician,1,8.0,standard,0.0,P1,2026-05-30 16:48:59.527521
CNC_089,senior_technician,2,2.6,standard,0.0,P1,2026-05-30 22:00:00
CNC_019,senior_technician,2,2.5,standard,0.0,P1,2026-05-30 22:00:00
CNC_063,junior_technician,2,6.2,downgraded,30.0,P1,2026-05-30 16:48:59.527521
CNC_043,senior_technician,2,2.8,standard,0.0,P1,2026-05-30 22:00:00
CNC_005,senior_technician,2,2.4,downgraded,15.0,P1,2026-05-30 16:48:59.527521
CNC_081,thermal_specialist,2,2.9,standard,0.0,P1,2026-05-30 22:00:00
CNC_093,senior_technician,2,3.1,standard,0.0,P1,2026-05-30 22:00:00
CNC_096,thermal_specialist,2,2.6,standard,0.0,P1,2026-05-30 22:00:00
CNC_087,senior_technician,1,2.6,standard,0.0,P1,2026-05-30 22:00:00
CNC_056,junior_technician,2,2.4,downgraded,30.0,P1,2026-05-30 16:48:59.527521
CNC_068,senior_technician,2,2.2,downgraded,15.0,P1,2026-05-30 16:48:59.527521
CNC_009,thermal_specialist,2,2.3,standard,0.0,P1,2026-05-30 22:00:00
CNC_055,junior_technician,2,3.1,downgraded,30.0,P1,2026-05-30 16:48:59.527521
CNC_065,junior_technician,1,2.8,standard,0.0,P1,2026-05-30 22:00:00
CNC_033,senior_technician,1,1.4,standard,0.0,P2,2026-05-30 16:48:59.527521
CNC_072,junior_technician,1,1.3,standard,0.0,P2,2026-05-30 16:48:59.527521
CNC_034,senior_technician,1,1.3,standard,0.0,P2,2026-05-30 16:48:59.527521
