Equipment.Id,time_step,time_index,ref_date,health_score,failure_rate_score,zscore_risk_score,temperature_trend_score,voltage_instability_score,maintenance_overdue_score,cost_at_risk_score,quality_failure_score,spec_violation_score,failure_rate,z_composite_mean,temperature_slope,voltage_cv,maintenance_overdue_days
CNC_001,5,5,2025-05-18 01:12:00,59.5,66.7,62.7,0.0,43.9,100.0,70.6,100.0,100.0,0.3333,1.119,1.43858,0.08415,0
CNC_001,6,6,2025-05-18 01:26:00,59.4,57.1,70.9,0.0,44.5,100.0,70.6,100.0,100.0,0.4286,0.873,1.60522,0.08319,0
CNC_001,7,7,2025-05-18 01:40:00,61.4,62.5,73.5,0.0,47.4,100.0,70.6,100.0,100.0,0.375,0.796,1.25833,0.07897,0
CNC_001,8,8,2025-05-18 01:55:00,57.7,55.6,67.0,0.0,41.1,100.0,70.6,100.0,100.0,0.4444,0.99,1.06071,0.08837,0
CNC_001,9,9,2025-05-18 02:09:00,55.1,50.0,61.5,0.0,38.5,100.0,70.6,100.0,100.0,0.5,1.154,1.06057,0.09226,0
CNC_001,10,10,2025-05-18 02:24:00,54.8,45.5,51.4,0.0,56.0,100.0,70.6,100.0,100.0,0.5455,1.458,1.1695,0.06604,0
CNC_001,11,11,2025-05-18 02:38:00,56.3,50.0,45.5,0.0,67.3,100.0,70.6,100.0,100.0,0.5,1.635,1.74247,0.04901,0
CNC_001,12,12,2025-05-18 02:52:00,56.2,46.2,48.4,0.0,68.3,100.0,70.6,100.0,100.0,0.5385,1.547,1.1889,0.04753,0
CNC_001,13,13,2025-05-18 03:07:00,59.7,42.9,54.0,19.6,68.6,100.0,70.6,100.0,100.0,0.5714,1.379,0.40213,0.04706,0
CNC_001,14,14,2025-05-18 03:21:00,63.1,40.0,53.4,54.2,61.4,100.0,70.6,100.0,100.0,0.6,1.398,0.22876,0.05784,0
CNC_001,15,15,2025-05-18 03:36:00,65.0,43.8,58.8,52.6,63.5,100.0,70.6,100.0,100.0,0.5625,1.237,-0.23713,0.05479,0
CNC_001,16,16,2025-05-18 03:50:00,59.5,41.2,61.7,15.6,63.3,100.0,70.6,100.0,100.0,0.5882,1.148,-0.42203,0.05506,0
CNC_001,17,17,2025-05-18 04:04:00,54.8,38.9,52.4,0.0,63.2,100.0,70.6,100.0,100.0,0.6111,1.428,-1.03728,0.05519,0
CNC_001,18,18,2025-05-18 04:19:00,54.7,36.8,51.2,0.0,66.8,100.0,70.6,100.0,100.0,0.6316,1.464,-1.07949,0.04981,0
CNC_001,19,19,2025-05-18 04:33:00,54.0,35.0,51.5,0.0,64.2,100.0,70.6,100.0,100.0,0.65,1.455,-0.75563,0.05365,0
CNC_001,20,20,2025-05-18 04:48:00,62.0,38.1,48.0,72.3,45.8,100.0,70.6,100.0,100.0,0.619,1.56,-0.13868,0.0813,0
