variant,condition,mse_mean,mse_std,auc_mean,auc_std
15in_5pred,noise=0.00_mask=0.0,0.0368,0.0000,0.5469,0.0000
15in_5pred,noise=0.00_mask=0.1,0.0370,0.0002,0.5416,0.0166
15in_5pred,noise=0.00_mask=0.2,0.0373,0.0005,0.5303,0.0327
15in_5pred,noise=0.00_mask=0.3,0.0374,0.0003,0.5377,0.0413
15in_5pred,noise=0.02_mask=0.0,0.0368,0.0000,0.5475,0.0036
15in_5pred,noise=0.02_mask=0.1,0.0370,0.0003,0.5365,0.0340
15in_5pred,noise=0.02_mask=0.2,0.0375,0.0005,0.5212,0.0328
15in_5pred,noise=0.02_mask=0.3,0.0374,0.0004,0.5391,0.0378
15in_5pred,noise=0.05_mask=0.0,0.0368,0.0000,0.5417,0.0074
15in_5pred,noise=0.05_mask=0.1,0.0371,0.0003,0.5284,0.0281
15in_5pred,noise=0.05_mask=0.2,0.0373,0.0004,0.5374,0.0318
15in_5pred,noise=0.05_mask=0.3,0.0375,0.0004,0.5301,0.0253
15in_5pred,noise=0.10_mask=0.0,0.0369,0.0001,0.5343,0.0128
15in_5pred,noise=0.10_mask=0.1,0.0372,0.0001,0.5338,0.0151
15in_5pred,noise=0.10_mask=0.2,0.0371,0.0004,0.5248,0.0447
15in_5pred,noise=0.10_mask=0.3,0.0375,0.0003,0.5275,0.0374
15in_5pred,noise=0.15_mask=0.0,0.0369,0.0001,0.5321,0.0098
15in_5pred,noise=0.15_mask=0.1,0.0371,0.0003,0.5234,0.0282
15in_5pred,noise=0.15_mask=0.2,0.0374,0.0004,0.5205,0.0296
15in_5pred,noise=0.15_mask=0.3,0.0376,0.0004,0.5043,0.0320
10in_10pred,noise=0.00_mask=0.0,0.0204,0.0000,0.2166,0.0000
10in_10pred,noise=0.00_mask=0.1,0.0204,0.0003,0.1989,0.0209
10in_10pred,noise=0.00_mask=0.2,0.0208,0.0006,0.2104,0.0174
10in_10pred,noise=0.00_mask=0.3,0.0211,0.0006,0.1975,0.0315
10in_10pred,noise=0.02_mask=0.0,0.0204,0.0000,0.2121,0.0073
10in_10pred,noise=0.02_mask=0.1,0.0205,0.0004,0.2037,0.0212
10in_10pred,noise=0.02_mask=0.2,0.0210,0.0003,0.2141,0.0291
10in_10pred,noise=0.02_mask=0.3,0.0211,0.0005,0.2194,0.0339
10in_10pred,noise=0.05_mask=0.0,0.0205,0.0001,0.2157,0.0216
10in_10pred,noise=0.05_mask=0.1,0.0208,0.0005,0.2091,0.0244
10in_10pred,noise=0.05_mask=0.2,0.0207,0.0007,0.2192,0.0387
10in_10pred,noise=0.05_mask=0.3,0.0211,0.0004,0.1971,0.0484
10in_10pred,noise=0.10_mask=0.0,0.0205,0.0002,0.2406,0.0472
10in_10pred,noise=0.10_mask=0.1,0.0207,0.0004,0.2472,0.0499
10in_10pred,noise=0.10_mask=0.2,0.0209,0.0007,0.2358,0.0394
10in_10pred,noise=0.10_mask=0.3,0.0213,0.0003,0.2003,0.0502
10in_10pred,noise=0.15_mask=0.0,0.0205,0.0003,0.2656,0.0875
10in_10pred,noise=0.15_mask=0.1,0.0208,0.0006,0.2160,0.0647
10in_10pred,noise=0.15_mask=0.2,0.0208,0.0004,0.3077,0.0305
10in_10pred,noise=0.15_mask=0.3,0.0210,0.0008,0.3187,0.0896
10in_5pred,noise=0.00_mask=0.0,0.0361,0.0000,0.5888,0.0000
10in_5pred,noise=0.00_mask=0.1,0.0364,0.0004,0.5752,0.0161
10in_5pred,noise=0.00_mask=0.2,0.0366,0.0004,0.5607,0.0252
10in_5pred,noise=0.00_mask=0.3,0.0375,0.0005,0.5192,0.0403
10in_5pred,noise=0.02_mask=0.0,0.0361,0.0000,0.5903,0.0025
10in_5pred,noise=0.02_mask=0.1,0.0364,0.0004,0.5767,0.0143
10in_5pred,noise=0.02_mask=0.2,0.0366,0.0003,0.5566,0.0143
10in_5pred,noise=0.02_mask=0.3,0.0366,0.0007,0.5434,0.0350
10in_5pred,noise=0.05_mask=0.0,0.0361,0.0001,0.5870,0.0069
10in_5pred,noise=0.05_mask=0.1,0.0364,0.0004,0.5776,0.0101
10in_5pred,noise=0.05_mask=0.2,0.0363,0.0003,0.5845,0.0172
10in_5pred,noise=0.05_mask=0.3,0.0369,0.0003,0.5534,0.0365
10in_5pred,noise=0.10_mask=0.0,0.0361,0.0001,0.5860,0.0072
10in_5pred,noise=0.10_mask=0.1,0.0362,0.0004,0.5808,0.0211
10in_5pred,noise=0.10_mask=0.2,0.0367,0.0004,0.5552,0.0176
10in_5pred,noise=0.10_mask=0.3,0.0369,0.0008,0.5514,0.0385
10in_5pred,noise=0.15_mask=0.0,0.0361,0.0002,0.5801,0.0115
10in_5pred,noise=0.15_mask=0.1,0.0367,0.0005,0.5576,0.0199
10in_5pred,noise=0.15_mask=0.2,0.0367,0.0004,0.5684,0.0199
10in_5pred,noise=0.15_mask=0.3,0.0367,0.0008,0.5527,0.0431
