ANALOG TESTS,BOUNDARY SCAN TESTS,CONTACT TEST,DISCHARGING CAPACITORS,FAILED_TESTS,FRAMESCAN,HIGH_RANGE_VALUE_TESTS,LINE,LOW_RANGE_VALUE_TESTS,MACHINE,PARENT_CASE_NO,PARENT_CIRCUIT_NO,POWERED ANALOG,POWER UP,SERIAL NO,SHORTS TESTING,TESTJET,WRKSTN_NM
0,0,0,0,0,0,0,Line1,4,CNC_007,CA1,CR11,0,0,C111,0,0,CAPACITOR_LOAD
0,0,0,0,0,0,0,Line1,4,CNC_007,CA1,CR11,0,0,C112,0,0,CAPACITOR_LOAD
0,0,0,0,0,0,0,Line1,4,CNC_007,CA1,CR11,0,0,C113,0,0,CAPACITOR_LOAD
0,0,0,0,0,0,3,Line1,1,CNC_007,CA1,CR12,0,0,C121,0,0,CAPACITOR_LOAD
0,0,0,0,0,0,3,Line1,1,CNC_007,CA1,CR12,0,0,C122,0,0,CAPACITOR_LOAD
0,0,0,0,0,0,3,Line1,1,CNC_007,CA1,CR12,0,0,C123,0,0,CAPACITOR_LOAD
0,0,0,0,0,0,0,Line1,3,CNC_007,CA1,NULL,0,0,CR11,0,0,CIRCUIT_LOAD
0,0,0,0,0,0,2,Line1,1,CNC_007,CA1,NULL,0,0,CR12,0,0,CIRCUIT_LOAD
0,0,0,0,0,0,1,Line1,1,CNC_007,NULL,NULL,0,0,CA1,0,0,CASE_LOAD
0,0,0,1,1,0,1,Line1,2,CNC_010,CA2,CR21,0,0,C211,0,0,CAPACITOR_LOAD
0,0,0,1,1,0,1,Line1,2,CNC_010,CA2,CR21,0,0,C212,0,0,CAPACITOR_LOAD
0,0,0,1,1,0,1,Line1,2,CNC_010,CA2,CR21,0,0,C213,0,0,CAPACITOR_LOAD
0,0,1,1,2,0,1,Line1,1,CNC_010,CA2,CR22,0,0,C221,0,0,CAPACITOR_LOAD
0,0,1,1,2,0,1,Line1,1,CNC_010,CA2,CR22,0,0,C222,0,0,CAPACITOR_LOAD
0,0,1,1,2,0,1,Line1,1,CNC_010,CA2,CR22,0,0,C223,0,0,CAPACITOR_LOAD
1,0,0,0,1,0,1,Line1,1,CNC_010,CA2,NULL,0,0,CR21,0,0,CIRCUIT_LOAD
1,0,0,0,2,0,1,Line1,0,CNC_010,CA2,NULL,0,0,CR22,0,0,CIRCUIT_LOAD
0,0,0,0,1,1,0,Line1,1,CNC_010,NULL,NULL,0,0,CA2,0,0,CASE_LOAD
0,1,1,1,3,0,1,Line1,0,CNC_011,CA3,CR31,0,0,C311,0,0,CAPACITOR_LOAD
0,1,1,1,3,0,1,Line1,0,CNC_011,CA3,CR31,0,0,C312,0,0,CAPACITOR_LOAD
0,1,1,1,3,0,1,Line1,0,CNC_011,CA3,CR31,0,0,C313,0,0,CAPACITOR_LOAD
0,1,1,1,4,0,0,Line1,0,CNC_011,CA3,CR32,0,1,C321,0,0,CAPACITOR_LOAD
0,1,1,1,4,0,0,Line1,0,CNC_011,CA3,CR32,0,1,C322,0,0,CAPACITOR_LOAD
0,1,1,1,4,0,0,Line1,0,CNC_011,CA3,CR32,0,1,C323,0,0,CAPACITOR_LOAD
