ANALOG TESTS,BOUNDARY SCAN TESTS,CONTACT TEST,DISCHARGING CAPACITORS,FAILED_TESTS,FRAMESCAN,HIGH_RANGE_VALUE_TESTS,LINE,LOW_RANGE_VALUE_TESTS,MACHINE,PARENT_CASE_NO,PARENT_CIRCUIT_NO,POWERED ANALOG,POWER UP,SERIAL NO,SHORTS TESTING,TESTJET,WRKSTN_NM
0,0,0,1,0,0,4,Line2,0,CNC_001,CA1,CR11,0,0,C111,0,0,CAPACITOR_LOAD
0,0,0,0,2,0,0,Line2,1,CNC_001,CA1,CR12,0,0,C121,0,0,CAPACITOR_LOAD
0,0,0,0,0,0,2,Line2,1,CNC_001,CA1,CR13,0,1,C131,0,0,CAPACITOR_LOAD
0,0,1,0,2,0,3,Line2,1,CNC_001,CA1,,0,1,CR11,0,0,CIRCUIT_LOAD
0,0,0,0,0,0,4,Line2,0,CNC_001,CA1,,0,0,CR12,0,0,CIRCUIT_LOAD
0,0,0,0,2,0,2,Line2,2,CNC_001,CA1,,0,0,CR13,0,1,CIRCUIT_LOAD
0,0,0,1,0,0,4,Line2,1,CNC_001,,,0,0,CA1_T1,0,0,CASE_LOAD
0,0,0,0,2,0,3,Line2,0,CNC_001,,,0,0,CA1_T2,0,0,CASE_LOAD
0,0,0,0,2,0,3,Line2,0,CNC_001,,,0,0,CA1_T3,0,0,CASE_LOAD
1,0,0,0,0,0,0,Line3,2,CNC_002,CA2,CR21,0,0,C211,0,0,CAPACITOR_LOAD
0,0,0,0,0,0,2,Line3,4,CNC_002,CA2,CR22,0,0,C221,0,0,CAPACITOR_LOAD
0,0,0,0,0,0,4,Line3,2,CNC_002,CA2,CR23,0,0,C231,0,0,CAPACITOR_LOAD
0,0,0,0,0,0,0,Line3,2,CNC_002,CA2,,0,0,CR21,0,0,CIRCUIT_LOAD
0,0,0,0,4,0,4,Line3,2,CNC_002,CA2,,0,0,CR22,0,0,CIRCUIT_LOAD
0,0,0,0,2,0,1,Line3,1,CNC_002,CA2,,0,0,CR23,0,0,CIRCUIT_LOAD
0,0,0,0,2,0,0,Line3,0,CNC_002,,,0,0,CA2_T1,0,0,CASE_LOAD
0,0,0,0,2,0,0,Line3,1,CNC_002,,,0,0,CA2_T2,0,0,CASE_LOAD
0,0,0,0,0,0,2,Line3,2,CNC_002,,,0,0,CA2_T3,0,0,CASE_LOAD
0,0,0,1,3,0,2,Line1,1,CNC_003,CA3,CR31,0,0,C311,0,0,CAPACITOR_LOAD
0,0,0,0,2,0,2,Line1,4,CNC_003,CA3,CR32,0,0,C321,0,0,CAPACITOR_LOAD
0,0,0,0,2,0,0,Line1,3,CNC_003,CA3,CR33,0,0,C331,1,0,CAPACITOR_LOAD
0,0,0,0,3,0,2,Line1,4,CNC_003,CA3,,0,0,CR31,0,1,CIRCUIT_LOAD
0,0,0,0,2,0,2,Line1,4,CNC_003,CA3,,0,0,CR32,0,0,CIRCUIT_LOAD
0,0,0,0,3,0,0,Line1,1,CNC_003,CA3,,0,0,CR33,0,0,CIRCUIT_LOAD
0,0,0,0,0,0,2,Line1,1,CNC_003,,,0,0,CA3_T1,0,0,CASE_LOAD
0,0,0,0,2,0,4,Line1,4,CNC_003,,,0,0,CA3_T2,0,0,CASE_LOAD
1,0,0,0,0,0,3,Line1,4,CNC_003,,,0,0,CA3_T3,0,0,CASE_LOAD
0,0,0,0,3,0,3,Line2,0,CNC_004,CA4,CR41,0,0,C411,0,1,CAPACITOR_LOAD
0,0,0,0,0,0,1,Line2,3,CNC_004,CA4,CR42,0,0,C421,0,0,CAPACITOR_LOAD
0,0,0,0,0,0,3,Line2,3,CNC_004,CA4,CR43,0,0,C431,0,0,CAPACITOR_LOAD
0,0,0,0,3,0,3,Line2,4,CNC_004,CA4,,0,0,CR41,0,0,CIRCUIT_LOAD
0,0,0,0,0,0,0,Line2,4,CNC_004,CA4,,0,0,CR42,0,0,CIRCUIT_LOAD
0,0,0,0,2,0,4,Line2,1,CNC_004,CA4,,0,1,CR43,0,1,CIRCUIT_LOAD
0,0,0,0,0,0,0,Line2,2,CNC_004,,,0,0,CA4_T1,0,0,CASE_LOAD
0,1,0,0,4,0,4,Line2,2,CNC_004,,,0,0,CA4_T2,0,0,CASE_LOAD
0,0,0,0,2,0,2,Line2,2,CNC_004,,,0,0,CA4_T3,0,0,CASE_LOAD
0,0,0,0,2,0,3,Line3,4,CNC_005,CA5,CR51,0,0,C511,0,0,CAPACITOR_LOAD
0,0,0,0,4,0,2,Line3,4,CNC_005,CA5,CR52,0,0,C521,0,0,CAPACITOR_LOAD
0,0,0,0,3,0,2,Line3,1,CNC_005,CA5,CR53,0,0,C531,0,0,CAPACITOR_LOAD
0,0,0,0,4,0,3,Line3,3,CNC_005,CA5,,0,0,CR51,1,0,CIRCUIT_LOAD
0,0,0,0,0,0,4,Line3,1,CNC_005,CA5,,0,0,CR52,0,0,CIRCUIT_LOAD
0,0,0,0,2,0,4,Line3,3,CNC_005,CA5,,0,0,CR53,0,0,CIRCUIT_LOAD
0,0,0,0,1,0,3,Line3,4,CNC_005,,,0,0,CA5_T1,0,0,CASE_LOAD
0,0,0,0,2,0,2,Line3,4,CNC_005,,,0,0,CA5_T2,0,0,CASE_LOAD
0,0,0,0,3,0,4,Line3,1,CNC_005,,,0,0,CA5_T3,0,0,CASE_LOAD
0,0,0,0,3,0,2,Line1,2,CNC_006,CA6,CR61,0,0,C611,0,0,CAPACITOR_LOAD
1,0,0,0,4,0,4,Line1,4,CNC_006,CA6,CR62,0,0,C621,0,0,CAPACITOR_LOAD
0,0,0,0,2,0,1,Line1,3,CNC_006,CA6,CR63,0,0,C631,0,0,CAPACITOR_LOAD
0,0,0,0,2,0,2,Line1,3,CNC_006,CA6,,0,0,CR61,0,1,CIRCUIT_LOAD
0,0,0,1,4,0,2,Line1,0,CNC_006,CA6,,0,0,CR62,0,0,CIRCUIT_LOAD
0,0,0,0,0,0,2,Line1,1,CNC_006,CA6,,0,0,CR63,0,0,CIRCUIT_LOAD
0,0,0,0,0,0,2,Line1,3,CNC_006,,,0,0,CA6_T1,0,0,CASE_LOAD
0,0,0,0,4,0,1,Line1,1,CNC_006,,,0,0,CA6_T2,0,0,CASE_LOAD
0,0,0,0,4,0,3,Line1,4,CNC_006,,,0,0,CA6_T3,0,0,CASE_LOAD
0,0,0,0,0,0,4,Line2,3,CNC_007,CA7,CR71,0,0,C711,0,0,CAPACITOR_LOAD
0,1,0,0,1,0,3,Line2,2,CNC_007,CA7,CR72,0,0,C721,0,0,CAPACITOR_LOAD
0,0,0,0,1,0,2,Line2,3,CNC_007,CA7,CR73,0,0,C731,0,0,CAPACITOR_LOAD
0,0,0,0,2,0,0,Line2,1,CNC_007,CA7,,0,0,CR71,0,1,CIRCUIT_LOAD
0,0,0,0,2,1,2,Line2,4,CNC_007,CA7,,0,0,CR72,0,0,CIRCUIT_LOAD
0,0,0,0,0,0,3,Line2,1,CNC_007,CA7,,0,0,CR73,0,0,CIRCUIT_LOAD
0,0,0,0,0,0,2,Line2,2,CNC_007,,,0,0,CA7_T1,0,0,CASE_LOAD
0,0,0,0,0,0,0,Line2,4,CNC_007,,,0,0,CA7_T2,0,0,CASE_LOAD
0,0,0,0,0,0,2,Line2,1,CNC_007,,,0,0,CA7_T3,0,0,CASE_LOAD
0,0,0,0,1,0,4,Line3,4,CNC_008,CA8,CR81,0,0,C811,0,0,CAPACITOR_LOAD
0,0,0,1,3,0,3,Line3,1,CNC_008,CA8,CR82,0,0,C821,0,0,CAPACITOR_LOAD
0,0,0,0,0,0,2,Line3,2,CNC_008,CA8,CR83,0,0,C831,0,0,CAPACITOR_LOAD
0,0,0,0,0,0,2,Line3,2,CNC_008,CA8,,0,0,CR81,0,0,CIRCUIT_LOAD
0,0,0,0,4,1,2,Line3,4,CNC_008,CA8,,0,0,CR82,0,0,CIRCUIT_LOAD
0,1,0,0,4,0,2,Line3,2,CNC_008,CA8,,0,0,CR83,0,0,CIRCUIT_LOAD
0,0,0,0,0,0,4,Line3,0,CNC_008,,,0,0,CA8_T1,0,0,CASE_LOAD
0,0,0,0,1,0,3,Line3,2,CNC_008,,,0,0,CA8_T2,0,0,CASE_LOAD
0,0,0,0,0,0,1,Line3,2,CNC_008,,,0,0,CA8_T3,0,0,CASE_LOAD
0,0,0,0,4,0,2,Line1,1,CNC_009,CA9,CR91,0,0,C911,0,0,CAPACITOR_LOAD
0,0,0,0,0,0,0,Line1,2,CNC_009,CA9,CR92,0,0,C921,0,0,CAPACITOR_LOAD
0,0,0,0,0,0,1,Line1,1,CNC_009,CA9,CR93,0,0,C931,0,0,CAPACITOR_LOAD
1,0,0,0,0,0,4,Line1,4,CNC_009,CA9,,0,0,CR91,0,0,CIRCUIT_LOAD
0,0,0,0,4,0,2,Line1,3,CNC_009,CA9,,0,0,CR92,0,0,CIRCUIT_LOAD
0,0,0,0,2,0,4,Line1,2,CNC_009,CA9,,0,0,CR93,0,0,CIRCUIT_LOAD
0,0,0,0,4,0,2,Line1,2,CNC_009,,,0,1,CA9_T1,0,0,CASE_LOAD
0,0,0,1,0,0,1,Line1,0,CNC_009,,,0,0,CA9_T2,0,0,CASE_LOAD
0,0,0,0,0,0,2,Line1,1,CNC_009,,,0,0,CA9_T3,0,0,CASE_LOAD
0,0,0,0,3,0,4,Line2,3,CNC_010,CA10,CR101,0,0,C1011,0,0,CAPACITOR_LOAD
0,0,0,0,4,0,2,Line2,1,CNC_010,CA10,CR102,0,0,C1021,0,0,CAPACITOR_LOAD
0,0,0,0,4,0,2,Line2,2,CNC_010,CA10,CR103,0,0,C1031,0,0,CAPACITOR_LOAD
0,0,1,0,0,0,4,Line2,4,CNC_010,CA10,,0,0,CR101,0,0,CIRCUIT_LOAD
0,0,0,1,3,0,3,Line2,2,CNC_010,CA10,,0,0,CR102,0,0,CIRCUIT_LOAD
0,0,0,0,0,0,4,Line2,1,CNC_010,CA10,,0,0,CR103,0,0,CIRCUIT_LOAD
0,0,0,0,0,0,1,Line2,3,CNC_010,,,0,0,CA10_T1,0,0,CASE_LOAD
0,0,0,0,0,0,0,Line2,1,CNC_010,,,0,0,CA10_T2,0,0,CASE_LOAD
0,0,0,0,0,0,1,Line2,0,CNC_010,,,0,0,CA10_T3,0,0,CASE_LOAD
0,0,0,0,0,0,2,Line3,1,CNC_011,CA11,CR111,0,0,C1111,0,0,CAPACITOR_LOAD
0,0,0,0,0,1,1,Line3,1,CNC_011,CA11,CR112,0,0,C1121,0,0,CAPACITOR_LOAD
0,0,0,0,0,0,4,Line3,3,CNC_011,CA11,CR113,0,0,C1131,0,0,CAPACITOR_LOAD
0,0,0,0,1,0,4,Line3,4,CNC_011,CA11,,0,0,CR111,0,0,CIRCUIT_LOAD
0,0,0,0,0,1,2,Line3,0,CNC_011,CA11,,0,0,CR112,0,0,CIRCUIT_LOAD
0,0,0,0,0,0,2,Line3,3,CNC_011,CA11,,0,0,CR113,0,0,CIRCUIT_LOAD
0,0,0,0,3,0,0,Line3,0,CNC_011,,,0,0,CA11_T1,0,0,CASE_LOAD
0,0,0,0,2,0,1,Line3,3,CNC_011,,,0,0,CA11_T2,0,0,CASE_LOAD
0,0,0,0,2,0,2,Line3,2,CNC_011,,,0,0,CA11_T3,0,0,CASE_LOAD
0,0,0,0,0,0,2,Line1,2,CNC_012,CA12,CR121,0,0,C1211,0,0,CAPACITOR_LOAD
0,0,0,0,3,0,2,Line1,2,CNC_012,CA12,CR122,0,0,C1221,0,0,CAPACITOR_LOAD
0,0,0,0,0,0,1,Line1,1,CNC_012,CA12,CR123,0,0,C1231,0,1,CAPACITOR_LOAD
0,0,1,0,0,1,1,Line1,2,CNC_012,CA12,,0,0,CR121,0,0,CIRCUIT_LOAD
0,0,0,0,0,0,2,Line1,4,CNC_012,CA12,,0,0,CR122,1,0,CIRCUIT_LOAD
0,0,0,0,4,0,1,Line1,2,CNC_012,CA12,,0,0,CR123,0,0,CIRCUIT_LOAD
1,0,0,0,0,0,2,Line1,1,CNC_012,,,0,0,CA12_T1,0,0,CASE_LOAD
0,0,0,0,0,0,4,Line1,3,CNC_012,,,0,0,CA12_T2,0,0,CASE_LOAD
0,0,0,0,0,0,1,Line1,3,CNC_012,,,0,0,CA12_T3,0,0,CASE_LOAD
0,0,0,0,0,0,3,Line2,2,CNC_013,CA13,CR131,0,0,C1311,0,0,CAPACITOR_LOAD
0,0,0,0,0,0,4,Line2,0,CNC_013,CA13,CR132,0,0,C1321,0,0,CAPACITOR_LOAD
0,0,0,0,0,0,2,Line2,3,CNC_013,CA13,CR133,0,0,C1331,0,0,CAPACITOR_LOAD
0,0,0,0,3,0,2,Line2,3,CNC_013,CA13,,0,1,CR131,0,0,CIRCUIT_LOAD
0,0,0,0,0,0,2,Line2,1,CNC_013,CA13,,0,0,CR132,0,0,CIRCUIT_LOAD
0,0,0,0,0,0,1,Line2,2,CNC_013,CA13,,0,0,CR133,1,0,CIRCUIT_LOAD
0,0,0,0,3,0,2,Line2,4,CNC_013,,,0,0,CA13_T1,0,0,CASE_LOAD
0,0,0,0,0,0,2,Line2,1,CNC_013,,,0,0,CA13_T2,0,0,CASE_LOAD
0,0,0,0,0,1,3,Line2,4,CNC_013,,,0,0,CA13_T3,0,0,CASE_LOAD
0,0,0,0,0,0,3,Line3,4,CNC_014,CA14,CR141,0,0,C1411,0,0,CAPACITOR_LOAD
0,0,0,0,0,0,1,Line3,2,CNC_014,CA14,CR142,0,0,C1421,0,0,CAPACITOR_LOAD
0,0,0,0,0,0,1,Line3,3,CNC_014,CA14,CR143,0,0,C1431,0,0,CAPACITOR_LOAD
0,0,0,0,0,0,3,Line3,0,CNC_014,CA14,,0,0,CR141,0,0,CIRCUIT_LOAD
1,0,0,0,2,0,4,Line3,3,CNC_014,CA14,,0,0,CR142,0,0,CIRCUIT_LOAD
0,0,0,0,0,0,2,Line3,0,CNC_014,CA14,,0,0,CR143,1,0,CIRCUIT_LOAD
0,0,0,0,0,0,1,Line3,3,CNC_014,,,0,0,CA14_T1,0,0,CASE_LOAD
0,0,0,0,0,0,3,Line3,1,CNC_014,,,0,0,CA14_T2,0,0,CASE_LOAD
0,0,0,0,1,0,2,Line3,2,CNC_014,,,0,0,CA14_T3,0,0,CASE_LOAD
0,1,0,0,0,0,1,Line1,1,CNC_015,CA15,CR151,0,1,C1511,0,0,CAPACITOR_LOAD
0,0,0,0,1,0,2,Line1,3,CNC_015,CA15,CR152,0,1,C1521,0,0,CAPACITOR_LOAD
0,0,0,0,2,0,4,Line1,1,CNC_015,CA15,CR153,0,0,C1531,0,0,CAPACITOR_LOAD
0,0,0,0,2,0,2,Line1,0,CNC_015,CA15,,0,0,CR151,0,0,CIRCUIT_LOAD
0,0,0,0,0,0,3,Line1,3,CNC_015,CA15,,0,0,CR152,0,0,CIRCUIT_LOAD
0,1,0,0,2,0,3,Line1,3,CNC_015,CA15,,0,0,CR153,0,0,CIRCUIT_LOAD
0,1,0,0,2,0,4,Line1,0,CNC_015,,,0,0,CA15_T1,0,0,CASE_LOAD
0,0,0,0,0,0,3,Line1,2,CNC_015,,,0,0,CA15_T2,0,0,CASE_LOAD
0,0,0,0,4,0,2,Line1,3,CNC_015,,,0,0,CA15_T3,0,0,CASE_LOAD
0,0,0,0,2,0,2,Line2,1,CNC_016,CA16,CR161,0,0,C1611,0,0,CAPACITOR_LOAD
0,0,0,0,4,0,1,Line2,2,CNC_016,CA16,CR162,0,0,C1621,0,0,CAPACITOR_LOAD
0,0,0,0,1,0,3,Line2,2,CNC_016,CA16,CR163,0,0,C1631,0,0,CAPACITOR_LOAD
0,0,0,0,0,0,3,Line2,3,CNC_016,CA16,,0,0,CR161,0,0,CIRCUIT_LOAD
0,0,0,0,1,0,4,Line2,4,CNC_016,CA16,,0,0,CR162,0,0,CIRCUIT_LOAD
0,0,0,0,3,0,1,Line2,1,CNC_016,CA16,,0,0,CR163,0,0,CIRCUIT_LOAD
0,0,0,0,2,0,4,Line2,1,CNC_016,,,0,0,CA16_T1,0,0,CASE_LOAD
0,0,0,0,0,0,2,Line2,3,CNC_016,,,0,0,CA16_T2,0,0,CASE_LOAD
0,0,0,0,3,0,4,Line2,3,CNC_016,,,0,0,CA16_T3,0,0,CASE_LOAD
0,0,0,0,2,0,0,Line3,2,CNC_017,CA17,CR171,0,0,C1711,0,0,CAPACITOR_LOAD
1,0,0,0,2,0,4,Line3,3,CNC_017,CA17,CR172,0,0,C1721,0,0,CAPACITOR_LOAD
0,0,0,0,0,0,1,Line3,1,CNC_017,CA17,CR173,0,0,C1731,0,0,CAPACITOR_LOAD
0,0,0,0,0,0,0,Line3,3,CNC_017,CA17,,0,0,CR171,0,0,CIRCUIT_LOAD
0,0,0,0,0,0,2,Line3,3,CNC_017,CA17,,0,0,CR172,0,0,CIRCUIT_LOAD
0,0,0,0,0,0,1,Line3,2,CNC_017,CA17,,0,0,CR173,0,0,CIRCUIT_LOAD
0,0,0,0,0,0,0,Line3,0,CNC_017,,,0,0,CA17_T1,0,0,CASE_LOAD
0,0,0,0,0,0,3,Line3,3,CNC_017,,,0,0,CA17_T2,0,0,CASE_LOAD
0,1,0,0,0,0,1,Line3,4,CNC_017,,,0,0,CA17_T3,0,0,CASE_LOAD
0,0,0,0,4,0,0,Line1,0,CNC_018,CA18,CR181,0,1,C1811,0,0,CAPACITOR_LOAD
0,0,0,0,3,0,0,Line1,3,CNC_018,CA18,CR182,0,0,C1821,0,0,CAPACITOR_LOAD
0,1,0,0,0,0,2,Line1,3,CNC_018,CA18,CR183,0,0,C1831,0,0,CAPACITOR_LOAD
0,1,0,0,3,0,3,Line1,0,CNC_018,CA18,,0,0,CR181,0,0,CIRCUIT_LOAD
0,0,0,0,0,0,2,Line1,1,CNC_018,CA18,,0,0,CR182,0,0,CIRCUIT_LOAD
0,0,0,0,0,0,4,Line1,3,CNC_018,CA18,,0,0,CR183,0,0,CIRCUIT_LOAD
0,0,0,0,0,0,1,Line1,1,CNC_018,,,0,0,CA18_T1,0,0,CASE_LOAD
0,0,0,0,0,0,0,Line1,4,CNC_018,,,0,0,CA18_T2,0,0,CASE_LOAD
0,0,0,0,0,0,2,Line1,3,CNC_018,,,0,0,CA18_T3,0,0,CASE_LOAD
0,0,0,0,0,0,3,Line2,2,CNC_019,CA19,CR191,0,0,C1911,0,0,CAPACITOR_LOAD
0,0,0,0,3,0,3,Line2,3,CNC_019,CA19,CR192,0,0,C1921,0,0,CAPACITOR_LOAD
0,0,1,0,4,0,2,Line2,1,CNC_019,CA19,CR193,0,0,C1931,0,0,CAPACITOR_LOAD
0,0,0,0,0,0,4,Line2,4,CNC_019,CA19,,0,0,CR191,0,0,CIRCUIT_LOAD
0,0,0,0,2,0,0,Line2,2,CNC_019,CA19,,0,0,CR192,0,0,CIRCUIT_LOAD
0,0,0,0,3,0,2,Line2,1,CNC_019,CA19,,0,0,CR193,0,0,CIRCUIT_LOAD
0,1,0,0,0,0,1,Line2,2,CNC_019,,,0,0,CA19_T1,0,0,CASE_LOAD
0,0,0,0,3,0,2,Line2,2,CNC_019,,,0,0,CA19_T2,0,0,CASE_LOAD
0,0,0,0,0,0,1,Line2,3,CNC_019,,,0,0,CA19_T3,0,0,CASE_LOAD
0,0,0,0,2,0,2,Line3,2,CNC_020,CA20,CR201,0,0,C2011,0,0,CAPACITOR_LOAD
0,0,0,0,1,0,1,Line3,2,CNC_020,CA20,CR202,0,0,C2021,0,0,CAPACITOR_LOAD
