machine_id,risk_score,alert_level,action_type,urgency_score,estimated_cost_at_risk,recommended_window_days,primary_pattern,patterns_detected,diagnosis_confidence,maintenance_suggestion
CNC_025,0.8715,ALARM,preventive_repair,100.0000,17043.0000,1,normal,[],0.0000,"[High Risk Tier] Preventive repair within 1 day(s). Daily production value at risk: $7,410. Cost avoidance by acting now vs. emergency repair: ~$11,930. Key concern: Severe deviation (z_max=8.3) — urgent inspection needed. Recommend: deploy vibration analysis + thermal scan during intervention."
CNC_089,0.8515,ALARM,preventive_repair,100.0000,15663.0000,3,normal,[],0.0000,"[High Risk Tier] Preventive repair within 3 day(s). Daily production value at risk: $6,810. Cost avoidance by acting now vs. emergency repair: ~$10,964. Key concern: High-cost machine ($5,221 at risk) at ALARM level. Recommend: deploy vibration analysis + thermal scan during intervention."
CNC_036,0.8916,ALARM,preventive_repair,100.0000,18080.0000,3,normal,[],0.0000,"[High Risk Tier] Preventive repair within 3 day(s). Daily production value at risk: $7,232. Cost avoidance by acting now vs. emergency repair: ~$12,656. Key concern: High-cost machine ($6,027 at risk) at ALARM level. Recommend: deploy vibration analysis + thermal scan during intervention."
CNC_067,0.8550,ALARM,immediate_shutdown,100.0000,16401.0000,0,normal,[],0.0000,"*** IMMEDIATE SHUTDOWN *** Parameter deviation is critical. Daily production exposure: $7,455. Initiate emergency protocol. Contact maintenance supervisor immediately. Root cause suspects: CRITICAL: Z-score max = 10.7 — extreme deviation from baseline."
CNC_012,0.8171,ALARM,preventive_repair,100.0000,16493.0000,3,normal,[],0.0000,"[High Risk Tier] Preventive repair within 3 day(s). Daily production value at risk: $7,854. Cost avoidance by acting now vs. emergency repair: ~$11,545. Key concern: High-cost machine ($5,498 at risk) at ALARM level. Recommend: deploy vibration analysis + thermal scan during intervention."
CNC_093,0.7608,ALARM,schedule_inspection,85.0000,13363.0000,7,normal,[],0.0000,"[High Risk Tier] Schedule inspection within 7 day(s). Focus: ALARM: normal pattern. Daily value at stake: $5,810. Recommended checks: electrical signature analysis, thermal imaging, physical inspection."
CNC_096,0.7531,ALARM,schedule_inspection,85.0000,12954.0000,7,normal,[],0.0000,"[High Risk Tier] Schedule inspection within 7 day(s). Focus: ALARM: normal pattern. Daily value at stake: $6,477. Recommended checks: electrical signature analysis, thermal imaging, physical inspection."
CNC_065,0.7589,ALARM,schedule_inspection,85.0000,14400.0000,7,normal,[],0.0000,"[High Risk Tier] Schedule inspection within 7 day(s). Focus: ALARM: normal pattern. Daily value at stake: $6,000. Recommended checks: electrical signature analysis, thermal imaging, physical inspection."
CNC_081,0.7598,ALARM,schedule_inspection,85.0000,12776.0000,7,normal,[],0.0000,"[High Risk Tier] Schedule inspection within 7 day(s). Focus: ALARM: normal pattern. Daily value at stake: $6,724. Recommended checks: electrical signature analysis, thermal imaging, physical inspection."
CNC_017,0.7653,ALARM,schedule_inspection,85.0000,14165.0000,7,normal,[],0.0000,"[High Risk Tier] Schedule inspection within 7 day(s). Focus: ALARM: normal pattern. Daily value at stake: $5,448. Recommended checks: electrical signature analysis, thermal imaging, physical inspection."
CNC_063,0.7857,ALARM,preventive_repair,85.0000,11875.0000,1,normal,[],0.0000,"[High Risk Tier] Preventive repair within 1 day(s). Daily production value at risk: $4,948. Cost avoidance by acting now vs. emergency repair: ~$8,313. Key concern: Severe deviation (z_max=8.4) — urgent inspection needed. Recommend: deploy vibration analysis + thermal scan during intervention."
CNC_005,0.7550,ALARM,schedule_inspection,85.0000,10829.0000,7,normal,[],0.0000,"[High Risk Tier] Schedule inspection within 7 day(s). Focus: ALARM: normal pattern. Daily value at stake: $4,165. Recommended checks: electrical signature analysis, thermal imaging, physical inspection."
CNC_019,0.8058,ALARM,schedule_inspection,85.0000,14079.0000,7,normal,[],0.0000,"[High Risk Tier] Schedule inspection within 7 day(s). Focus: ALARM: normal pattern. Daily value at stake: $7,410. Recommended checks: electrical signature analysis, thermal imaging, physical inspection."
CNC_043,0.7610,ALARM,schedule_inspection,85.0000,12170.0000,7,normal,[],0.0000,"[High Risk Tier] Schedule inspection within 7 day(s). Focus: ALARM: normal pattern. Daily value at stake: $5,532. Recommended checks: electrical signature analysis, thermal imaging, physical inspection."
CNC_003,0.7610,ALARM,immediate_shutdown,68.0000,10206.0000,0,normal,[],0.0000,"*** IMMEDIATE SHUTDOWN *** Parameter deviation is critical. Daily production exposure: $3,780. Initiate emergency protocol. Contact maintenance supervisor immediately. Root cause suspects: CRITICAL: Z-score max = 35.7 — extreme deviation from baseline."
CNC_085,0.6406,WARNING,increase_monitoring,66.0000,19323.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_087,0.7380,WARNING,increase_monitoring,66.0000,18653.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_033,0.7211,WARNING,increase_monitoring,66.0000,16685.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_064,0.6504,WARNING,increase_monitoring,66.0000,18308.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_054,0.6868,WARNING,increase_monitoring,66.0000,15928.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_034,0.6841,WARNING,increase_monitoring,66.0000,18782.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_091,0.6234,WARNING,increase_monitoring,66.0000,15645.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_013,0.7053,WARNING,increase_monitoring,66.0000,16229.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_097,0.6415,WARNING,increase_monitoring,66.0000,15704.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_042,0.6419,WARNING,increase_monitoring,66.0000,15399.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_048,0.6324,WARNING,increase_monitoring,55.0000,14487.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_049,0.5695,WARNING,increase_monitoring,55.0000,12641.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_072,0.6977,WARNING,increase_monitoring,55.0000,14531.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_056,0.7283,WARNING,increase_monitoring,55.0000,11876.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_055,0.7321,WARNING,increase_monitoring,55.0000,11576.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_009,0.7121,WARNING,increase_monitoring,55.0000,13073.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_047,0.6648,WARNING,increase_monitoring,55.0000,11183.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_068,0.7270,WARNING,increase_monitoring,55.0000,11840.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_070,0.5872,WARNING,increase_monitoring,55.0000,12089.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_077,0.6268,WARNING,increase_monitoring,55.0000,11642.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_057,0.6384,WARNING,increase_monitoring,55.0000,11524.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_071,0.6087,WARNING,increase_monitoring,55.0000,13976.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_037,0.6220,WARNING,increase_monitoring,55.0000,11656.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_044,0.6064,WARNING,increase_monitoring,55.0000,11143.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_073,0.6308,WARNING,increase_monitoring,55.0000,14028.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_078,0.6111,WARNING,increase_monitoring,55.0000,11075.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_066,0.6259,WARNING,increase_monitoring,55.0000,13208.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_058,0.6465,WARNING,increase_monitoring,55.0000,14856.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_016,0.6268,WARNING,increase_monitoring,55.0000,11144.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_095,0.5990,WARNING,increase_monitoring,55.0000,12540.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_023,0.5600,WARNING,increase_monitoring,55.0000,11508.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_039,0.5969,WARNING,increase_monitoring,55.0000,14124.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_083,0.5844,WARNING,increase_monitoring,55.0000,14890.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_053,0.6134,WARNING,increase_monitoring,44.0000,9028.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_092,0.6872,WARNING,increase_monitoring,44.0000,4800.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_059,0.5959,WARNING,increase_monitoring,44.0000,8348.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
